BRANCHES,RELAXS,ACT_NDS,DEPTH,BEST_INT_OBJ,BEST_RELAX_OBJ,REL_GAP(%),TIME
1100,1105,417,47,-8.590,-8.59530,0.05,16.6
798,805,227,20,-8.5915,-8.5962,0.05,17.7
517,522,120,18,-8.5903,-8.5983,0.09,12.8
549,547,228,31,-8.6080,-8.6145,0.08,9.7
834,837,503,33,-8.6986,-8.7018,0.04,13.7
1242,1239,821,17,-8.7252,-8.72960,0.05,18.0
739,739,370,30,-8.6956,-8.6991,0.04,12.8
922,928,205,30,-8.6135,-8.6183,0.06,22.5
679,681,60,28,-8.5975,-8.6025,0.06,16.8
691,703,90,30,-8.5925,-8.5971,0.05,17.4
1291,1300,372,29,-8.5904,-8.5953,0.06,27.6